word,partOfSpeech,meaning,example,translation,synonyms,collocation,category,level
manufacture,verb,製造,Please manufacture the document before Friday.,請在星期五前製造這份文件。,fabricate; construct,manufacture a request,Business,Intermediate
market,noun,市場,The company entered the Asian market last year.,公司去年進入亞洲市場。,marketplace; market place,market details,Business,Intermediate
marketing,noun,行銷,Please review the marketing before the meeting.,請在會議前確認這項行銷。,selling; merchandising,marketing details,Business,Intermediate
material,noun,材料,The factory ordered additional raw material.,工廠訂購了額外原料。,stuff; fabric,material details,Business,Intermediate
measure,noun,測量；措施,Please review the measure before the meeting.,請在會議前確認這項測量。,step; quantity,measure details,Business,Intermediate
mechanic,noun,技工,Please review the mechanic before the meeting.,請在會議前確認這項技工。,machinist; shop mechanic,mechanic details,Business,Intermediate
medical,adjective,醫療的,The company needs a medical solution for this issue.,公司需要一個醫療的的解決方案來處理這個問題。,aesculapian,medical policy,Business,Intermediate
meeting,noun,會議,Please review the meeting before the meeting.,請在會議前確認這項會議。,conference; session,attend a meeting,Office,Intermediate
membership,noun,會員資格,Please review the membership before the meeting.,請在會議前確認這項會員資格。,rank,membership details,Business,Intermediate
memo,noun,備忘錄,The memo explains the new office policy.,備忘錄說明了新的辦公室政策。,memorandum; memoranda,memo information,Office,Intermediate
mention,verb,提及,Please mention the document before Friday.,請在星期五前提及這份文件。,advert; bring up,mention a request,Business,Intermediate
merchandise,noun,商品,All merchandise must be returned within thirty days.,所有商品必須在三十天內退回。,ware; product,merchandise information,Shopping,Intermediate
merge,verb,合併,Please merge the document before Friday.,請在星期五前合併這份文件。,unify; unite,merge a request,Business,Intermediate
merger,noun,合併,Please review the merger before the meeting.,請在會議前確認這項合併。,amalgamation; uniting,merger details,Business,Intermediate
method,noun,方法,Please review the method before the meeting.,請在會議前確認這項方法。,method acting,method details,Business,Intermediate
monitor,noun,監控；螢幕,Please review the monitor before the meeting.,請在會議前確認這項監控。,proctor; admonisher,monitor details,Business,Intermediate
motivate,verb,激勵,Please motivate the document before Friday.,請在星期五前激勵這份文件。,actuate; propel,motivate a request,Business,Intermediate
motivation,noun,動機,Please review the motivation before the meeting.,請在會議前確認這項動機。,motive; need,motivation details,Business,Intermediate
negotiate,verb,談判,Please negotiate the document before Friday.,請在星期五前談判這份文件。,negociate; talk terms,negotiate a request,Business,Intermediate
negotiation,noun,談判,The negotiation continued for three hours.,談判持續了三個小時。,dialogue; talks,negotiation details,Business,Intermediate
notice,noun,通知,The notice was posted near the elevator.,通知張貼在電梯附近。,observation; observance,notice details,Business,Intermediate
notify,verb,通知,Please notify the document before Friday.,請在星期五前通知這份文件。,advise; give notice,notify a request,Customer Service,Intermediate
objective,noun,目標,Please review the objective before the meeting.,請在會議前確認這項目標。,aim; object,objective details,Business,Intermediate
occupation,noun,職業,Please review the occupation before the meeting.,請在會議前確認這項職業。,business; job,occupation details,Business,Intermediate
offer,verb,提供；提議,Please offer the document before Friday.,請在星期五前提供這份文件。,proffer; volunteer,offer a request,Business,Intermediate
office,noun,辦公室,The office will be closed on Monday.,辦公室星期一將關閉。,business office; agency,office information,Office,Intermediate
operate,verb,操作；營運,Please operate the document before Friday.,請在星期五前操作這份文件。,run; function,operate a request,Business,Intermediate
operation,noun,營運；操作,Please review the operation before the meeting.,請在會議前確認這項營運。,-,operation details,Business,Intermediate
operator,noun,操作員；接線生,Please review the operator before the meeting.,請在會議前確認這項操作員。,manipulator,operator details,Business,Intermediate
opportunity,noun,機會,Please review the opportunity before the meeting.,請在會議前確認這項機會。,chance,opportunity details,Business,Intermediate
option,noun,選項,Please review the option before the meeting.,請在會議前確認這項選項。,alternative; choice,option details,Business,Intermediate
order,noun,訂單；訂購,The customer placed an order online.,顧客在線上下了一筆訂單。,order of magnitude,order details,Business,Intermediate
organize,verb,組織；安排,Please organize the document before Friday.,請在星期五前組織這份文件。,form; organise,organize a request,Business,Intermediate
organization,noun,組織,Please review the organization before the meeting.,請在會議前確認這項組織。,organisation; arrangement,organization details,Business,Intermediate
package,noun,包裹；包裝,The package arrived earlier than expected.,包裹比預期更早抵達。,bundle; packet,package details,Business,Intermediate
parcel,noun,包裹,Please review the parcel before the meeting.,請在會議前確認這項包裹。,package; portion,parcel details,Business,Intermediate
park,verb,停車；公園,Please park the document before Friday.,請在星期五前停車這份文件。,-,park a request,Business,Intermediate
participant,noun,參與者,Each participant received a copy of the agenda.,每位參加者都收到一份議程。,player,participant details,Business,Intermediate
passenger,noun,乘客,Passengers should arrive at the airport two hours early.,乘客應提前兩小時抵達機場。,rider,passenger information,Travel,Intermediate
